model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
EcoTemporalNet,17,spatial_test,2026,262,0,0.0,,8.00773077459599e-05,0.0026671352122247353,,,0.0
EcoFusion,17,test,2020,366,43,0.11748633879781421,0.7100238338538507,0.0633107692333374,0.05620105912937828,0.8943768449852401,0.6046511627906976,0.7027027027027027
EcoFusion,17,test,2021,1294,124,0.09582689335394126,0.4283861698110192,0.06715013996303616,0.0259198241911078,0.8570237110559691,0.5241935483870968,0.5
EcoFusion,17,test,2022,63,6,0.09523809523809523,0.8555555555555555,0.02867780084594356,0.03793349150613372,0.9853801169590644,0.8333333333333334,0.7142857142857143
EcoFusion,17,test,2023,70,10,0.14285714285714285,0.5267603668261562,0.09059925115108113,0.08499415248109671,0.9199999999999999,0.4,0.5714285714285714
EcoFusion,17,test,2024,1679,39,0.023228111971411555,0.30191539863009953,0.020382252313988852,0.013654684505063514,0.941260162601626,0.7435897435897436,0.17261904761904762
EcoFusion,17,test,2025,1882,29,0.015409139213602551,0.20233412952135094,0.01582142543926128,0.00879797799951864,0.9521000428010495,0.8620689655172413,0.13227513227513227
EcoFusion,17,test,2026,1656,1,0.0006038647342995169,0.14285714285714285,0.0012707932899188434,0.004628428485461095,0.9963746223564954,1.0,0.006024096385542169
EcoFusion,17,spatial_test,2020,85,0,0.0,,0.00016790187100857164,0.007539382162882037,,,0.0
EcoFusion,17,spatial_test,2021,288,16,0.05555555555555555,0.2803514136220289,0.050246818925955124,0.034442462148052605,0.8304227941176471,0.375,0.20689655172413793
EcoFusion,17,spatial_test,2022,26,2,0.07692307692307693,0.75,0.044087195951135236,0.08407056610272368,0.9583333333333333,0.5,0.3333333333333333
EcoFusion,17,spatial_test,2023,35,4,0.11428571428571428,0.8041666666666667,0.04034245242786856,0.09122865612785416,0.9758064516129032,0.75,0.75
EcoFusion,17,spatial_test,2024,394,15,0.03807106598984772,0.37668763196485155,0.03183215636016138,0.030063704368347547,0.9620052770448548,0.9333333333333333,0.35
EcoFusion,17,spatial_test,2025,378,7,0.018518518518518517,0.684090419384537,0.010773210408496112,0.005696162322713217,0.9838274932614555,1.0,0.18421052631578946
EcoFusion,17,spatial_test,2026,262,0,0.0,,6.74402603775331e-05,0.0025752644653429194,,,0.0
EcoTemporalNet,17,missing20,0,7010,252,0.035948644793152636,0.33368012489459525,0.03047657709710734,0.016779991402062645,0.9032657356125838,0.6865079365079365,0.24679029957203993
EcoTemporalNet,17,noise01,0,7010,252,0.035948644793152636,0.3957166460718249,0.02640591993161143,0.00863490825614001,0.9215756046919114,0.753968253968254,0.2710413694721826
Seasonal,17,observed_high_temperature,0,510,1,0.00196078431372549,0.03125,0.001900380179030339,1.6681774036203566e-05,0.9695481335952849,1.0,0.0196078431372549
Persistence,17,observed_high_temperature,0,510,1,0.00196078431372549,0.00196078431372549,0.0029212355916877534,0.011322651049563141,0.49901768172888017,0.0,0.0
Logistic,17,observed_high_temperature,0,510,1,0.00196078431372549,0.008849557522123894,0.003010571674569344,0.004718239058526235,0.7799607072691552,0.0,0.0
RandomForest,17,observed_high_temperature,0,510,1,0.00196078431372549,0.021739130434782608,0.0038308597461670178,0.003972348510617198,0.9115913555992141,1.0,0.0196078431372549
HistGradientBoosting,17,observed_high_temperature,0,510,1,0.00196078431372549,0.02857142857142857,0.004090458681398658,0.003521827196362854,0.9332023575638506,1.0,0.0196078431372549
EcoTemporalNet,17,observed_high_temperature,0,510,1,0.00196078431372549,0.015384615384615385,0.003209436331117997,0.004954536633990564,0.8742632612966601,0.0,0.0
EcoFusion,17,observed_high_temperature,0,510,1,0.00196078431372549,0.019230769230769232,0.0036500838837390556,0.004159878196443449,0.899803536345776,0.0,0.0
Seasonal,42,test,2020,366,43,0.11748633879781421,0.11491787169835636,0.14477500059693263,0.22953300715151337,0.23741810065519475,0.0,0.0
Seasonal,42,test,2021,1294,124,0.09582689335394126,0.09387536911954053,0.0956865167024283,0.09516285820074766,0.4769954507857733,0.13709677419354838,0.13076923076923078
Seasonal,42,test,2022,63,6,0.09523809523809523,0.2857142857142857,0.09428431966063588,0.09004651538700209,0.7894736842105263,0.0,0.0
Seasonal,42,test,2023,70,10,0.14285714285714285,0.26555555555555554,0.14628041397500643,0.15678174244842813,0.655,0.0,0.0
Seasonal,42,test,2024,1679,39,0.023228111971411555,0.07118056919247584,0.027300529350114768,0.03877564909536242,0.8040103189493434,0.358974358974359,0.08333333333333333
Seasonal,42,test,2025,1882,29,0.015409139213602551,0.05822666483073964,0.015613192874549514,0.0137361315037339,0.8430597167687068,0.13793103448275862,0.021164021164021163
Seasonal,42,test,2026,1656,1,0.0006038647342995169,0.004830917874396135,0.0006174093970698423,0.0015730608415718294,0.93202416918429,1.0,0.006024096385542169
Seasonal,42,spatial_test,2020,85,0,0.0,,0.03187013454059719,0.13163271087103734,,,0.0
Seasonal,42,spatial_test,2021,288,16,0.05555555555555555,0.04581610967247297,0.05598972261733384,0.055808908653488615,0.2614889705882353,0.0625,0.034482758620689655
Seasonal,42,spatial_test,2022,26,2,0.07692307692307693,0.625,0.05922413462179456,0.06182538684414364,0.8958333333333333,0.5,0.3333333333333333
Seasonal,42,spatial_test,2023,35,4,0.11428571428571428,0.36363636363636365,0.11509851657948127,0.11557542973689566,0.7741935483870968,0.0,0.0
Seasonal,42,spatial_test,2024,394,15,0.03807106598984772,0.1900635930047695,0.0350989298261318,0.02754976108547049,0.8649076517150396,0.6,0.225
Seasonal,42,spatial_test,2025,378,7,0.018518518518518517,0.0595400839761742,0.021174408496266513,0.02829587321591362,0.800346553715826,0.0,0.0
Seasonal,42,spatial_test,2026,262,0,0.0,,2.8586373821907992e-05,0.0020665942550618407,,,0.0
Persistence,42,test,2020,366,43,0.11748633879781421,0.5180475446730535,0.06307828323683387,0.050283895091976394,0.7814097487220103,0.5813953488372093,0.6756756756756757
Persistence,42,test,2021,1294,124,0.09582689335394126,0.30569108955507335,0.07277779263296424,0.051762027171423,0.7338916459884202,0.5161290322580645,0.49230769230769234
Persistence,42,test,2022,63,6,0.09523809523809523,0.3476190476190476,0.06597784692145497,0.04162053429610157,0.7324561403508772,0.5,0.42857142857142855
Persistence,42,test,2023,70,10,0.14285714285714285,0.3214285714285714,0.10937880843449804,0.08452146930600828,0.7083333333333334,0.4,0.5714285714285714
