source_row,site_number,sample_date,location,sample_number,sampler,depth,latitude,longitude,k_brevisulcata_cells_l,k_brevisulcata_reported_not_detected,k_mikimotoi_cells_l,k_mikimotoi_reported_not_detected,k_papilionacea_cells_l,k_papilionacea_reported_not_detected,k_longicanalis_cells_l,k_longicanalis_reported_not_detected,k_brevis_cells_l,k_brevis_reported_not_detected,k_cristata_cells_l,k_cristata_reported_not_detected,k_hui_cells_l,k_hui_reported_not_detected,karenia_total_cells_l,karenia_species_detected,k_cristata_detected,k_cristata_share,nearest_grid_latitude,nearest_grid_longitude,source_record,source_license
27,34,2025-07-16,Gulf St Vincent,SARDI 090,SARDI FPV Southern Ranger,1m,-34.674,138.358,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,0.0,False,0.0,True,0.0,0,False,0.0,-34.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
28,35,2025-07-16,Gulf St Vincent,SA 129,SARDI FPV Southern Ranger,1m,-34.749,138.361,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
29,35,2025-07-16,Gulf St Vincent,SARDI 129,SARDI FPV Southern Ranger,1m,-34.749,138.361,4.921968182,False,0.0,False,0.0,True,0.0,False,0.0,True,18116.8702,False,0.0,True,18121.792168182,2,True,0.9997283950651061,-34.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
30,36,2025-07-16,Gulf St Vincent,SA 203,SARDI FPV Southern Ranger,1m,-34.88,138.122,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.875,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
31,36,2025-07-16,Gulf St Vincent,SARDI 203,SARDI FPV Southern Ranger,1m,-34.88,138.122,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,368.0273044,False,0.0,True,368.0273044,1,True,1.0,-34.875,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
32,37,2025-07-16,Gulf St Vincent,SA 466,SARDI FPV Southern Ranger,1m,-35.249,138.441,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
33,37,2025-07-16,Gulf St Vincent,SARDI 466,SARDI FPV Southern Ranger,1m,-35.249,138.441,127.730181,False,0.0,False,0.0,True,0.0,False,0.0,True,1471.367569,False,0.0,True,1599.09775,2,True,0.9201235940704688,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
34,38,2025-07-16,Gulf St Vincent,SA 517,SARDI FPV Southern Ranger,1m,-35.351,138.353,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-35.375,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
35,38,2025-07-16,Gulf St Vincent,SARDI 517,SARDI FPV Southern Ranger,1m,-35.351,138.353,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,137.5768402,False,0.0,True,137.5768402,1,True,1.0,-35.375,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
36,39,2025-07-16,Gulf St Vincent,SA 552,SARDI FPV Southern Ranger,1m,-35.457,138.142,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-35.375,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
37,39,2025-07-16,Gulf St Vincent,SARDI 552,SARDI FPV Southern Ranger,1m,-35.457,138.142,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,226.1802399,False,0.0,True,226.1802399,1,True,1.0,-35.375,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
38,18,2025-07-27,O'Sullivan Beach Boat Ramp*,TNCN 1,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,102.1462084,False,7278.219878,False,0.0,True,0.0,False,0.0,True,34768.12856,False,0.0,True,42148.494646399995,3,True,0.8248960930083805,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
39,18,2025-07-27,O'Sullivan Beach Boat Ramp*,TNCN 2,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,12.68458722,False,1205.531735,False,0.0,True,0.0,False,0.0,True,6495.821111,False,0.0,True,7714.03743322,3,True,0.8420779866877712,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
40,18,2025-07-27,O'Sullivan Beach Boat Ramp*,TNCN 3,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,5.428236382,False,1720.30684,False,0.0,True,0.0,False,0.0,True,7390.823221,False,0.0,True,9116.558297382,3,True,0.810703225922706,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
41,19,2025-07-27,Port Noarlunga Jetty*,TNCN 4,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,51.14833709,False,2250.690553,False,0.0,True,0.0,False,0.0,True,95906.70943,False,0.0,True,98208.54832009,3,True,0.9765617257411479,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
42,19,2025-07-27,Port Noarlunga Jetty*,TNCN 5,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,470.973276,False,1662.430603,False,0.0,True,0.0,False,0.0,True,35367.55921,False,0.0,True,37500.963089,3,True,0.9431106909458072,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
43,19,2025-07-27,Port Noarlunga Jetty*,TNCN 6,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,777.2707867,False,7705.458976,False,0.0,True,0.0,False,0.0,True,262568.1496,False,0.0,True,271050.8793627,3,True,0.9687042898268962,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
44,20,2025-07-27,Seaford Beach*,TNCN 7,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,721.1447218,False,5118.54838,False,0.0,True,0.0,False,0.0,True,290685.1941,False,0.0,True,296524.8872018,3,True,0.9803062294132978,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
45,20,2025-07-27,Seaford Beach*,TNCN 8,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,581.3538556,False,5197.644176,False,0.0,True,0.0,False,0.0,True,282342.8569,False,0.0,True,288121.85493160004,3,True,0.979942521080284,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
46,20,2025-07-27,Seaford Beach*,TNCN 9,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.181,138.468,912.7012961,False,4787.001221,False,0.0,True,0.0,False,0.0,True,246994.4475,False,0.0,True,252694.1500171,3,True,0.9774442640768918,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
47,15,2025-07-28,Franklin Harbour,SWB 9BA,"PIRSA, Clinton Wilkinson",Surface,-33.752,136.905,0.0,False,51778.58341,False,34411.19662,False,0.0,False,0.0,True,436.769772,False,0.0,True,86626.549802,3,True,0.005041985084230101,-33.875,136.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
48,15,2025-07-28,Franklin Harbour,SWB 9BA,"PIRSA, Clinton Wilkinson",Surface,-33.752,136.905,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,3013.278137,False,0.0,True,3013.278137,1,True,1.0,-33.875,136.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
49,17,2025-07-28,Stansbury,ST 05A,"PIRSA, Clinton Wilkinson",Integrated tube (4m),-34.898,137.826,0.0,False,738.8071877,False,0.0,False,0.0,False,0.0,True,2230.453736,False,0.0,True,2969.2609236999997,2,True,0.7511814533364177,-34.875,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
50,18,2025-08-03,O'Sullivan Beach Boat Ramp*,TNCN 10,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,3613.77117,False,43615.58544,False,0.0,True,0.0,False,0.0,True,982099.4393,False,0.0,True,1029328.79591,3,True,0.9541163554369954,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
51,18,2025-08-03,O'Sullivan Beach Boat Ramp*,TNCN 11,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,1031.567669,False,16929.45998,False,0.0,True,0.0,False,0.0,True,318885.7804,False,0.0,True,336846.808049,3,True,0.9466789436033864,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
52,18,2025-08-03,O'Sullivan Beach Boat Ramp*,TNCN 12,"Nikola Streiber, Phil Dunn, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.12,138.467,1077.965798,False,14527.10997,False,0.0,True,0.0,False,0.0,True,274610.3244,False,0.0,True,290215.40016799996,3,True,0.9462293325613785,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
53,19,2025-08-03,Port Noarlunga Jetty*,TNCN 13,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,597.1501403,False,1986.711763,False,0.0,True,0.0,False,0.0,True,117460.1716,False,0.0,True,120044.0335033,3,True,0.9784757157195241,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
54,19,2025-08-03,Port Noarlunga Jetty*,TNCN 14,"Nikola Streiber, Phil Dunne, Anke-Maria Hoeffer, Neil MacDonald, C Ricci, T Spokes",Surface,-35.149,138.468,1318.73451,False,9532.616138,False,0.0,True,0.0,False,0.0,True,314137.3511,False,0.0,True,324988.70174800005,3,True,0.9666100680127204,-35.125,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
