sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
china_hk_7d:CN_HongKong:2019-10-13,CN_HongKong,2019-10-13,2019-10-20,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-10-20,CN_HongKong,2019-10-20,2019-10-27,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-10-27,CN_HongKong,2019-10-27,2019-11-03,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-11-03,CN_HongKong,2019-11-03,2019-11-10,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-11-10,CN_HongKong,2019-11-10,2019-11-17,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-11-17,CN_HongKong,2019-11-17,2019-11-24,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-11-24,CN_HongKong,2019-11-24,2019-12-01,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-12-01,CN_HongKong,2019-12-01,2019-12-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-12-08,CN_HongKong,2019-12-08,2019-12-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-12-15,CN_HongKong,2019-12-15,2019-12-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-12-22,CN_HongKong,2019-12-22,2019-12-29,0,22.35,114.2,AFCD_HongKong,0,0.0
