model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Seasonal,42,test,2022,52,9,0.17307692307692307,0.4687257187257188,0.14311660532826725,0.13143372128634795,0.6072351421188631,0.5555555555555556,0.8333333333333334
Seasonal,42,test,2023,53,16,0.3018867924528302,0.5058695127785029,0.19188972380910133,0.12897735707738847,0.6807432432432432,0.1875,0.5
Seasonal,42,test,2024,52,18,0.34615384615384615,0.6546416189385755,0.1840061223236143,0.08634786708340825,0.7508169934640523,0.2777777777777778,0.8333333333333334
Seasonal,42,test,2025,51,18,0.35294117647058826,0.6805915874903827,0.18125088015239452,0.09225892891959721,0.7744107744107744,0.2777777777777778,0.8333333333333334
Persistence,42,test,2020,52,10,0.19230769230769232,0.2246153846153846,0.16311629616270057,0.04644088289493099,0.5666666666666668,0.3,0.5
Persistence,42,test,2021,52,20,0.38461538461538464,0.716923076923077,0.15717411377734347,0.12892990605397994,0.8375,0.25,0.8333333333333334
Persistence,42,test,2022,52,9,0.17307692307692307,0.38556505223171894,0.11727935629923467,0.06602215771868117,0.7312661498708011,0.4444444444444444,0.6666666666666666
Persistence,42,test,2023,53,16,0.3018867924528302,0.3293042452830188,0.22333760882545015,0.11918443173013746,0.5523648648648648,0.25,0.6666666666666666
Persistence,42,test,2024,52,18,0.34615384615384615,0.46248812915479587,0.20620071314738625,0.05112507931243306,0.6601307189542484,0.16666666666666666,0.5
Persistence,42,test,2025,51,18,0.35294117647058826,0.4655047204066812,0.20968782518064707,0.055429459998052086,0.6565656565656566,0.16666666666666666,0.5
Logistic,42,test,2020,52,10,0.19230769230769232,0.3574631416988073,0.15239215230333658,0.06082281799418425,0.5595238095238095,0.3,0.5
Logistic,42,test,2021,52,20,0.38461538461538464,0.8578692530236649,0.1456988223081723,0.21422669217093646,0.8453125,0.3,1.0
Logistic,42,test,2022,52,9,0.17307692307692307,0.4220741315850012,0.13686456958194387,0.13879422413216666,0.6899224806201549,0.3333333333333333,0.5
Logistic,42,test,2023,53,16,0.3018867924528302,0.5488182706932707,0.18608319863053535,0.07435240138853762,0.7162162162162162,0.25,0.6666666666666666
Logistic,42,test,2024,52,18,0.34615384615384615,0.5848822546942128,0.20661629022998707,0.11238179748691202,0.7026143790849674,0.2222222222222222,0.6666666666666666
Logistic,42,test,2025,51,18,0.35294117647058826,0.6721888327328559,0.1971901031357769,0.07127109347072631,0.7070707070707071,0.2777777777777778,0.8333333333333334
RandomForest,42,test,2020,52,10,0.19230769230769232,0.33415295638318987,0.15320746278402048,0.12507033458876554,0.6095238095238096,0.1,0.16666666666666666
RandomForest,42,test,2021,52,20,0.38461538461538464,0.8339766856596629,0.1771752303840595,0.14108832399455132,0.8328125,0.3,1.0
