model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
Logistic,42,spatial_test,1.8397567720001007,73.0,1682,39,0.02318668252080856,0.37992310161293286,0.017151278665760317,0.011467927623978233,0.8961873995349345,0.7692307692307693,0.17751479289940827,0.8870392390011891,0.0,0.10820451843043995,0.9,0.04616349288238656
RandomForest,42,test,3.5730076699999245,,7192,183,0.025444938820912123,0.20615957696304996,0.02338757709938103,0.011198209420419117,0.8934235218263482,0.6502732240437158,0.16527777777777777,0.8733314794215795,0.0,0.11888209121245828,0.9,0.07425802921998254
RandomForest,42,spatial_test,3.5730076699999245,,1682,39,0.02318668252080856,0.3920808983862944,0.020294288644207042,0.03211221296899508,0.8893050548558766,0.7948717948717948,0.1834319526627219,0.8382877526753865,0.0,0.15755053507728894,0.9,0.07425802921998254
HistGradientBoosting,42,test,9.528525659999787,,7192,183,0.025444938820912123,0.21576254712120901,0.024465594028555398,0.014104793367068675,0.9084385649364166,0.639344262295082,0.1625,0.8840378197997776,0.0,0.10775862068965517,0.9,0.07167215502124717
HistGradientBoosting,42,spatial_test,9.528525659999787,,1682,39,0.02318668252080856,0.4234676642407396,0.018980431840065305,0.017274207628514848,0.9129953025266476,0.7692307692307693,0.17751479289940827,0.8852556480380499,0.0,0.10939357907253269,0.9,0.07167215502124717
EcoTemporalNet,42,test,6.730203542000027,3284.0,7192,183,0.025444938820912123,0.1943240541698289,0.023140113314223446,0.01120574738016774,0.8669696338899165,0.6666666666666666,0.16944444444444445,0.8663793103448276,0.0,0.1277808676307008,0.9,0.03559098139695752
EcoTemporalNet,42,spatial_test,6.730203542000027,3284.0,1682,39,0.02318668252080856,0.3997922334762989,0.017318580538732257,0.010083525368734773,0.874057774240367,0.7948717948717948,0.1834319526627219,0.880499405469679,0.0,0.11533888228299644,0.9,0.03559098139695752
EcoFusion,42,test,16.258729201999813,3284.0,7192,183,0.025444938820912123,0.21176002873093974,0.0235745804497807,0.012673228658857887,0.8934547073356893,0.6721311475409836,0.17083333333333334,0.8734705228031145,0.0,0.1192992213570634,0.9,0.0503510037731333
EcoFusion,42,spatial_test,16.258729201999813,3284.0,1682,39,0.02318668252080856,0.43362845690256835,0.017767804132458303,0.012943510192085058,0.8960157310735521,0.7692307692307693,0.17751479289940827,0.882282996432818,0.0,0.11236623067776456,0.9,0.0503510037731333
Seasonal,73,test,0.0,12.0,7192,183,0.025444938820912123,0.03729701658623876,0.02525081463361991,0.019123400950622357,0.573151849261722,0.15300546448087432,0.03888888888888889,0.9745550611790879,0.0,0.0,0.9,0.14019060153390897
Seasonal,73,spatial_test,0.0,12.0,1682,39,0.02318668252080856,0.08209463962505797,0.021759229827029387,0.007760768916640713,0.6924403452096696,0.4358974358974359,0.10059171597633136,0.9768133174791914,0.0,0.0,0.9,0.14019060153390897
Persistence,73,test,0.0,1.0,7192,183,0.025444938820912123,0.11187159975793119,0.025132774205112927,0.008764573515973656,0.6580563475375532,0.4644808743169399,0.11805555555555555,0.9524471635150167,0.0,0.030728587319243605,0.9,0.017543233445199105
Persistence,73,spatial_test,0.0,1.0,1682,39,0.02318668252080856,0.14050428366718498,0.021100320651905393,0.007254778932311577,0.6715748240398272,0.38461538461538464,0.08875739644970414,0.9613555291319857,0.0,0.023781212841854936,0.9,0.017543233445199105
Logistic,73,test,1.6640573660001792,73.0,7192,183,0.025444938820912123,0.20128764077005112,0.022246067800839205,0.003438315871372852,0.8983555101286637,0.639344262295082,0.1625,0.8708286985539488,0.0,0.12305339265850945,0.9,0.04616349288238656
Logistic,73,spatial_test,1.6640573660001792,73.0,1682,39,0.02318668252080856,0.37992310161293286,0.017151278665760317,0.011467927623978233,0.8961873995349345,0.7692307692307693,0.17751479289940827,0.8870392390011891,0.0,0.10820451843043995,0.9,0.04616349288238656
RandomForest,73,test,3.902632262999987,,7192,183,0.025444938820912123,0.20759819683871195,0.023359011880107212,0.010845792249757921,0.8957390458949345,0.6721311475409836,0.17083333333333334,0.8766685205784205,0.0,0.1161012235817575,0.9,0.07287824743754258
RandomForest,73,spatial_test,3.902632262999987,,1682,39,0.02318668252080856,0.4004104576388909,0.0200980804144694,0.029672596367233284,0.8914118950637514,0.7948717948717948,0.1834319526627219,0.8436385255648038,0.0,0.15219976218787157,0.9,0.07287824743754258
HistGradientBoosting,73,test,1.9335791249998238,,7192,183,0.025444938820912123,0.21576254712120901,0.024465594028555398,0.014104793367068675,0.9084385649364166,0.639344262295082,0.1625,0.8840378197997776,0.0,0.10775862068965517,0.9,0.07167215502124717
HistGradientBoosting,73,spatial_test,1.9335791249998238,,1682,39,0.02318668252080856,0.4234676642407396,0.018980431840065305,0.017274207628514848,0.9129953025266476,0.7692307692307693,0.17751479289940827,0.8852556480380499,0.0,0.10939357907253269,0.9,0.07167215502124717
EcoTemporalNet,73,test,5.694863765000036,3284.0,7192,183,0.025444938820912123,0.1962283036650666,0.02284296472785287,0.009054275825449591,0.8561147377259685,0.6666666666666666,0.16944444444444445,0.8722191323692993,0.0,0.1206896551724138,0.9,0.036417386605966495
EcoTemporalNet,73,spatial_test,5.694863765000036,3284.0,1682,39,0.02318668252080856,0.39079588928177117,0.01695106983964951,0.011771483529217175,0.8795511650046037,0.7692307692307693,0.17751479289940827,0.8858501783590963,0.0,0.10939357907253269,0.9,0.036417386605966495
EcoFusion,73,test,7.62844288999986,3284.0,7192,183,0.025444938820912123,0.21107978689879053,0.023264894106058316,0.011634486994878004,0.8873018063426648,0.6557377049180327,0.16666666666666666,0.8738876529477196,0.0,0.11957730812013348,0.9,0.04599719500978522
EcoFusion,73,spatial_test,7.62844288999986,3284.0,1682,39,0.02318668252080856,0.43189737134869405,0.017426316624466497,0.012145553781492124,0.8992930380635797,0.7692307692307693,0.17751479289940827,0.8828775267538644,0.0,0.1117717003567182,0.9,0.04599719500978522
