sample_date,samples,regions,target_hab_events,target_hab_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,mean_sst_c,mean_salinity_psu
2013-09-01,1,1,0,0.0,0,0,16.44833447383,31.6057048210731
2013-09-02,13,13,0,0.0,200,0,15.356245460543583,31.33197034575722
2013-09-08,1,1,0,0.0,0,0,16.1550461206681,31.6706581115723
2013-09-09,10,10,0,0.0,0,0,15.36475352473074,31.43667228036525
2013-09-10,1,1,0,0.0,0,0,12.4011553355626,33.8646578107561
2013-09-11,1,1,0,0.0,0,0,17.3804181643895,28.681316954749
2013-09-15,1,1,0,0.0,0,0,15.9769174135648,31.6575385851738
2013-09-16,9,9,0,0.0,0,0,14.869782659111845,31.816173906555655
2013-09-17,2,2,0,0.0,0,0,14.355193574087949,30.7408903666905
2013-09-18,1,1,0,0.0,0,0,16.6625167301723,29.1173872947693
2013-09-22,1,1,0,0.0,0,0,15.2477548550337,31.5325440137814
2013-09-23,12,12,0,0.0,0,0,14.500213051364357,31.23702519858553
2013-09-30,9,9,0,0.0,0,0,13.701337803895845,31.26134871740349
2013-10-01,2,2,0,0.0,0,0,13.089252914701149,31.223060437611153
2013-10-04,2,2,0,0.0,0,0,12.11914539337155,33.13446617126465
2013-10-06,1,1,0,0.0,0,0,14.0506852223323,31.5738929357284
2013-10-07,5,5,0,0.0,0,0,13.27303138068226,31.406991581896158
2013-10-09,1,1,0,0.0,0,0,13.8334469795227,30.3177701234817
2013-10-13,1,1,0,0.0,0,0,13.8145328179384,31.6477010678022
2013-10-14,4,4,0,0.0,0,0,12.759962514548576,31.50894970330325
2013-10-15,1,1,0,0.0,0,0,12.689399770328,28.7143579551152
2013-10-21,5,5,0,0.0,0,0,12.04494050552034,30.437923609739602
2013-10-27,1,1,0,0.0,0,0,12.2120482126872,32.0451054695325
2013-10-28,3,3,0,0.0,0,0,11.884421663067565,30.117044168963563
2013-10-30,1,1,0,0.0,0,0,11.1065708398819,28.7244608402252
2014-03-02,1,1,0,0.0,0,0,6.11819022741073,33.8808688628368
2014-03-03,5,5,0,0.0,0,0,3.430578878392388,29.8205770521618
2014-03-10,5,5,0,0.0,0,0,4.532038670750328,30.08585583589712
2014-03-11,1,1,0,0.0,0,0,5.59166104865797,33.1691095756762
2014-03-16,1,1,0,0.0,0,0,5.93199927990253,33.7431579981095
2014-03-17,7,7,0,0.0,0,0,5.038887635024891,30.939554367472372
2014-03-23,1,1,0,0.0,0,0,5.82903935359075,33.6176223754883
2014-03-24,7,7,0,0.0,0,0,5.232780740601676,31.14154675736717
2014-03-25,1,1,0,0.0,0,0,5.45971032551357,34.2480370657785
2014-03-30,1,1,0,0.0,0,0,6.40343486345731,33.4523258698292
2014-03-31,9,9,1,0.1111111111111111,260,20,5.5271068228156945,31.753230449204963
2014-04-07,12,12,0,0.0,0,40,6.153495478697849,31.272639885962985
2014-04-21,1,1,0,0.0,0,0,7.42296677369338,33.2400467701447
2014-04-22,11,11,0,0.0,0,0,7.227394756482654,31.01991252464179
2014-04-27,1,1,0,0.0,0,0,8.53914065238757,33.0995399279472
2014-04-28,12,12,0,0.0,0,0,8.4342006784342,30.479260470834475
2014-05-05,12,12,0,0.0,80,0,7.763028381405334,30.418921024194912
2014-05-06,1,1,0,0.0,0,0,9.36107606547219,25.9034094810486
2014-05-11,1,1,0,0.0,0,0,9.77062208224566,32.5810522421812
2014-05-12,12,12,0,0.0,20,0,8.53413284196224,28.419420571671235
2014-05-18,1,1,0,0.0,0,0,9.06730779012044,32.6353755853115
2014-05-19,12,12,0,0.0,40,0,9.852190273939952,28.12301744436289
2014-05-25,2,2,0,0.0,0,0,12.066207324297,28.79303503085405
2014-05-26,11,11,0,0.0,0,0,11.353310164718456,27.847800545219556
2014-06-02,14,14,0,0.0,0,0,12.95390582149855,28.470550411328563
2014-06-09,2,2,0,0.0,0,0,15.77173799647515,27.30429736380175
2014-06-10,12,12,0,0.0,40,40,15.112955793089,28.17156439475166
2014-06-16,12,12,0,0.0,0,40,13.185936525670153,28.733942211817023
2014-06-17,1,1,1,1.0,360,0,9.02147034236363,34.1000807625907
